ignore,code_post_gfx_mp
ignore,common_mp
ignore,localized_code_post_gfx_mp
ignore,localized_common_mp
material,compass_map_mp_suburbs
col_map_mp,maps/mp/mp_suburbs.d3dbsp
rawfile,maps/mp/mp_suburbs.gsc
gfx_map,maps/mp/mp_suburbs.d3dbsp
sound,common,mp_suburbs,!all_mp
sound,generic,mp_suburbs,!all_mp
sound,voiceovers,mp_suburbs,!all_mp
sound,multiplayer,mp_suburbs,!all_mp
impactfx,mp_suburbs
xmodel,com_cardboardbox03
xmodel,com_cardboardbox04
xmodel,vehicle_80s_sedan1_brndest
xmodel,vehicle_80s_sedan1_tandest
xmodel,vehicle_80s_wagon1_yeldest
xmodel,vehicle_80s_hatch1_brn
xmodel,vehicle_80s_sedan1_reddest
xmodel,vehicle_80s_wagon1_silvdest

mptype,mptype_ally_cqb
mptype,mptype_ally_support
mptype,mptype_ally_grenadier
mptype,mptype_ally_rifleman
mptype,mptype_ally_sniper
mptype,mptype_ally_engineer
mptype,mptype_axis_cqb
mptype,mptype_axis_support
mptype,mptype_axis_grenadier
mptype,mptype_axis_rifleman
mptype,mptype_axis_sniper
mptype,mptype_axis_engineer
