# This file maps impact types to effects,,
"# It can be overridden in part by just specifying some effects in a CSV file in the ""fx"" folder that has a later name alphabetically",,
"# It has the simple syntax that the first column is the impact type, the second is the surface type, and the thrid is the effect name",,
"# The impact type is one of: bullet_small_normal, bullet_small_exit, bullet_large_normal, bullet_large_exit, grenade_bounce, and grenade_explode",,
"# The surface type is one of the valid surface impact types for the surfaceparm shader command, or ""default"".  Default is only used if the code cannot figure out the correct surface type",,
"# The effect name should be a relative path starting after the ""fx"" folder in the game tree.  It should not include the "".efx"" extension.",,
"# The effect name may be left blank, in which case no effect is played for this impact.",,
"# If any impact effect has no row entry in any file, the game will not load any maps.  The console lists which surface types had no entries.",,
"# These effects usually should not specify sounds, since a corresponding sound alias will be played at the same time as the effect",,
"# For bullet hits, two effects are played, either or both of which may be blank:",,
"# The ""normal"" effect is played at the impact point facing the surface normal.  This should usually be used for decals.",,
"# The ""exit"" effect is played at the exit point when buller penetration is on.",,

bullet_small_normal,default,impacts/default_hit_IR
bullet_small_normal,bark,impacts/default_hit_IR
bullet_small_normal,brick,impacts/default_hit_IR
bullet_small_normal,carpet,impacts/default_hit_IR
bullet_small_normal,cloth,impacts/default_hit_IR
bullet_small_normal,concrete,impacts/default_hit_IR
bullet_small_normal,dirt,impacts/default_hit_IR
bullet_small_normal,flesh,impacts/flesh_hit_noblood
bullet_small_normal,foliage,impacts/default_hit_IR
bullet_small_normal,glass,impacts/default_hit_IR
bullet_small_normal,grass,impacts/default_hit_IR
bullet_small_normal,gravel,impacts/default_hit_IR
bullet_small_normal,ice,impacts/default_hit_IR
bullet_small_normal,metal,impacts/large_metalhit_1_IR
bullet_small_normal,mud,impacts/default_hit_IR
bullet_small_normal,paper,impacts/default_hit_IR
bullet_small_normal,plaster,impacts/default_hit_IR
bullet_small_normal,rock,impacts/default_hit_IR
bullet_small_normal,sand,impacts/default_hit_IR
bullet_small_normal,snow,impacts/default_hit_IR
bullet_small_normal,water,impacts/small_waterhit
bullet_small_normal,wood,impacts/default_hit_IR
bullet_small_normal,asphalt,impacts/default_hit_IR
bullet_small_normal,ceramic,impacts/default_hit
bullet_small_normal,plastic,impacts/default_hit
bullet_small_normal,rubber,impacts/default_hit
bullet_small_normal,cushion,impacts/default_hit
bullet_small_normal,fruit,impacts/default_hit
bullet_small_normal,paintedmetal,impacts/default_hit

bullet_small_exit,default,impacts/default_hit_IR
bullet_small_exit,bark,impacts/default_hit_IR
bullet_small_exit,brick,impacts/default_hit_IR
bullet_small_exit,carpet,impacts/default_hit_IR
bullet_small_exit,cloth,impacts/default_hit_IR
bullet_small_exit,concrete,impacts/default_hit_IR
bullet_small_exit,dirt,impacts/default_hit_IR
bullet_small_exit,flesh,impacts/flesh_hit_noblood
bullet_small_exit,foliage,impacts/default_hit_IR
bullet_small_exit,glass,impacts/default_hit_IR
bullet_small_exit,grass,impacts/default_hit_IR
bullet_small_exit,gravel,impacts/default_hit_IR
bullet_small_exit,ice,impacts/default_hit_IR
bullet_small_exit,metal,impacts/large_metalhit_1_IR
bullet_small_exit,mud,impacts/default_hit_IR
bullet_small_exit,paper,impacts/default_hit_IR
